year,author,title,average_rating,image_url,text
2008,Suzanne Collins,"The Hunger Games (The Hunger Games, #1)",4.34,https://images.gr-assets.com/books/1447303603m/2767052.jpg,"The Hunger Games (The Hunger Games, #1) Suzanne Collins"
1997,"J.K. Rowling, Mary GrandPré","Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",4.44,https://images.gr-assets.com/books/1474154022m/3.jpg,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1) J.K. Rowling, Mary GrandPré"
2005,Stephenie Meyer,"Twilight (Twilight, #1)",3.57,https://images.gr-assets.com/books/1361039443m/41865.jpg,"Twilight (Twilight, #1) Stephenie Meyer"
1960,Harper Lee,To Kill a Mockingbird,4.25,https://images.gr-assets.com/books/1361975680m/2657.jpg,To Kill a Mockingbird Harper Lee
1925,F. Scott Fitzgerald,The Great Gatsby,3.89,https://images.gr-assets.com/books/1490528560m/4671.jpg,The Great Gatsby F. Scott Fitzgerald
2012,John Green,The Fault in Our Stars,4.26,https://images.gr-assets.com/books/1360206420m/11870085.jpg,The Fault in Our Stars John Green
1937,J.R.R. Tolkien,The Hobbit,4.25,https://images.gr-assets.com/books/1372847500m/5907.jpg,The Hobbit J.R.R. Tolkien
1951,J.D. Salinger,The Catcher in the Rye,3.79,https://images.gr-assets.com/books/1398034300m/5107.jpg,The Catcher in the Rye J.D. Salinger
2000,Dan Brown,"Angels & Demons  (Robert Langdon, #1)",3.85,https://images.gr-assets.com/books/1303390735m/960.jpg,"Angels & Demons  (Robert Langdon, #1) Dan Brown"
1813,Jane Austen,Pride and Prejudice,4.24,https://images.gr-assets.com/books/1320399351m/1885.jpg,Pride and Prejudice Jane Austen
2003,Khaled Hosseini,The Kite Runner,4.26,https://images.gr-assets.com/books/1484565687m/77203.jpg,The Kite Runner Khaled Hosseini
2011,Veronica Roth,"Divergent (Divergent, #1)",4.24,https://images.gr-assets.com/books/1328559506m/13335037.jpg,"Divergent (Divergent, #1) Veronica Roth"
1949,"George Orwell, Erich Fromm, Celâl Üster",1984,4.14,https://images.gr-assets.com/books/1348990566m/5470.jpg,"1984 George Orwell, Erich Fromm, Celâl Üster"
1945,George Orwell,Animal Farm,3.87,https://images.gr-assets.com/books/1424037542m/7613.jpg,Animal Farm George Orwell
1947,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday",The Diary of a Young Girl,4.1,https://images.gr-assets.com/books/1358276407m/48855.jpg,"The Diary of a Young Girl Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday"
2005,"Stieg Larsson, Reg Keeland","The Girl with the Dragon Tattoo (Millennium, #1)",4.11,https://images.gr-assets.com/books/1327868566m/2429135.jpg,"The Girl with the Dragon Tattoo (Millennium, #1) Stieg Larsson, Reg Keeland"
